Step	pre_train_from_scratch_hf_t5_c4_en_lr_0_0001_linear_bsz_256_shuffle_p_0_5_2024-03-06_21-35 - train/loss	pre_train_from_scratch_hf_t5_c4_en_lr_0_0001_linear_bsz_256_shuffle_p_0_5_2024-03-06_21-35 - train/loss__MIN	pre_train_from_scratch_hf_t5_c4_en_lr_0_0001_linear_bsz_256_shuffle_p_0_5_2024-03-06_21-35 - train/loss__MAX
195	2.0605	2.0605	2.0605
196	2.0893	2.0893	2.0893
197	2.0548	2.0548	2.0548
199	2.0539	2.0539	2.0539
200	2.0563	2.0563	2.0563
201	2.0533	2.0533	2.0533
202	2.0586	2.0586	2.0586
203	2.06	2.06	2.06
204	2.0772	2.0772	2.0772
205	2.0744	2.0744	2.0744
206	2.053	2.053	2.053
207	2.0455	2.0455	2.0455
208	2.0241	2.0241	2.0241
210	2.0458	2.0458	2.0458
211	2.0233	2.0233	2.0233
212	2.055	2.055	2.055
213	2.0435	2.0435	2.0435
214	2.0285	2.0285	2.0285
215	2.0529	2.0529	2.0529
216	2.0185	2.0185	2.0185
217	2.0193	2.0193	2.0193
218	2.0292	2.0292	2.0292
219	2.0364	2.0364	2.0364
221	2.0306	2.0306	2.0306
222	2.0339	2.0339	2.0339
223	2.0492	2.0492	2.0492
224	2.0277	2.0277	2.0277
225	2.0205	2.0205	2.0205
226	2.008	2.008	2.008
227	2.0198	2.0198	2.0198
228	2.0212	2.0212	2.0212
229	2.0331	2.0331	2.0331
230	2.0096	2.0096	2.0096
232	2.0113	2.0113	2.0113
233	2.0255	2.0255	2.0255
234	2.0355	2.0355	2.0355
235	2.0333	2.0333	2.0333
236	2.0163	2.0163	2.0163
